Timestamp,"What area are you employed in? (If retired, say what area you used to work in)",What field do you work in?,What is your level of familiarity with: [Linear models],What is your level of familiarity with: [Generalized linear models],What is your level of familiarity with: [Mixed models],What is your level of familiarity with: [Generalized additive models],What is your level of familiarity with: [Machine learning/AI],What is your level of familiarity with: [Math stats (likelihood etc.)],What is your level of familiarity with: [Numerical computation],What is your level of familiarity with: [Linear algebra],What is your level of familiarity with: [Bayesian statistics],What software do you use for statistical modeling? [lme4 (R)],What software do you use for statistical modeling? [glmmTMB (R)],What software do you use for statistical modeling? [Stan/brms/rstanarm (R)],What software do you use for statistical modeling? [other R mixed model packages],What software do you use for statistical modeling? [Stata],What software do you use for statistical modeling? [SAS],What software do you use for statistical modeling? [HLM/MLWiN],What software do you use for statistical modeling? [Julia],What software do you use for statistical modeling? [Python],What are you hoping to get out of this course?,Do you have any other requests or comments in advance of the lecture?
11/11/2025 10:34:52,Academia,business,advanced,advanced,advanced,a bit,a bit,some,none,a bit,a bit,frequently,sometimes,never,sometimes,never,never,never,never,never,"Statistical tips and tricks, Computational tips and tricks",
11/11/2025 10:35:09,Industry,biomedical,expert,advanced,some,a bit,a bit,advanced,advanced,advanced,a bit,sometimes,sometimes,never,sometimes,,sometimes,,,,"Statistical tips and tricks, Computational tips and tricks",
11/11/2025 10:36:55,Academia,population biology (ecology/evolution/inf. disease epidemiology),advanced,advanced,some,some,some,some,advanced,some,some,sometimes,sometimes,,sometimes,,,,,,"Overview/introduction to mixed models, Statistical tips and tricks, Computational tips and tricks, Reference material for teaching and applications in ecology",Looking forward to the seminar
11/11/2025 10:45:41,Academia,statistics/statistical consulting,advanced,advanced,some,none,a bit,some,none,advanced,a bit,sometimes,never,never,never,never,frequently,never,never,never,"Overview/introduction to mixed models, Statistical tips and tricks",
11/11/2025 10:50:40,Consulting,"Risk Analysis, public health",advanced,advanced,some,some,a bit,advanced,some,none,some,sometimes,,sometimes,sometimes,never,never,never,sometimes,sometimes,"Statistical tips and tricks, Computational tips and tricks, Advanced computation, Advanced theory",
11/11/2025 10:52:13,Academia,public health,advanced,advanced,some,none,none,some,none,some,a bit,sometimes,sometimes,never,sometimes,never,never,never,never,never,"Statistical tips and tricks, Computational tips and tricks, Advanced computation, Advanced theory",
11/11/2025 10:55:11,Self-employed,economics,expert,expert,,,some,advanced,some,some,some,,,,never,never,,,,,Overview/introduction to mixed models,
11/11/2025 10:55:52,Non-governmental organization,population biology (ecology/evolution/inf. disease epidemiology),advanced,advanced,advanced,a bit,none,a bit,none,a bit,a bit,frequently,frequently,sometimes,never,never,never,never,never,never,"Statistical tips and tricks, Advanced theory, I am looking for a workflow/protocol, including best practices for model construction, validation, and reporting and also decision-trees for commonly encountered problems when using messy real-world data ",Any valuable sources and materials that could be provided for topics that are directly relevant but outside the scope of our seminar would be really appreciated.
11/11/2025 10:58:10,Industry,bioinformatics/genomics,expert,some,some,some,advanced,advanced,expert,a bit,some,never,never,never,never,never,never,never,never,frequently,"Statistical tips and tricks, Computational tips and tricks, Advanced computation",
11/11/2025 11:02:32,Academia,psychology/linguistics/cognitive science,advanced,some,advanced,none,a bit,advanced,advanced,some,some,sometimes,never,never,never,never,never,never,never,never,"Statistical tips and tricks, Computational tips and tricks",
11/11/2025 11:12:59,Academia,population biology (ecology/evolution/inf. disease epidemiology),some,some,some,none,none,a bit,none,advanced,some,frequently,never,never,never,never,never,never,never,never,"Overview/introduction to mixed models, Statistical tips and tricks, Computational tips and tricks",
11/11/2025 11:17:35,Academia,Medical Epidemiology and Biostatistcs,some,some,some,a bit,a bit,none,none,none,none,sometimes,sometimes,sometimes,frequently,sometimes,frequently,frequently,never,sometimes,"Overview/introduction to mixed models, Statistical tips and tricks, Computational tips and tricks","I am particularly interested in applications of mixed models in epidemiological and population-based studies, especially using complex survey data (e.g., BRFSS, PRAMS, DHS). Insights into interpreting random effects and variance components for health outcomes would be very helpful."
11/11/2025 11:23:31,Academia,population biology (ecology/evolution/inf. disease epidemiology),some,some,some,a bit,none,a bit,none,none,a bit,sometimes,sometimes,never,sometimes,never,never,never,never,never,"Overview/introduction to mixed models, Statistical tips and tricks",
11/11/2025 12:57:41,Industry,business,advanced,advanced,a bit,a bit,some,advanced,advanced,advanced,some,frequently,sometimes,sometimes,,,,,,,"Overview/introduction to mixed models, Statistical tips and tricks, Computational tips and tricks, Advanced computation, Advanced theory",
11/11/2025 13:50:16,Academia,statistics/statistical consulting,advanced,advanced,advanced,a bit,a bit,some,none,some,some,never,never,never,sometimes,frequently,never,never,never,never,"Overview/introduction to mixed models, Statistical tips and tricks, Computational tips and tricks",None
11/11/2025 13:51:53,Academia,psychology/linguistics/cognitive science,some,some,a bit,a bit,a bit,some,a bit,none,a bit,frequently,never,never,never,never,never,never,never,never,I want a solid understanding of how to build a model: when to include random intercepts vs. slopes vs. both,
11/11/2025 14:20:27,Academia,statistics/statistical consulting,expert,expert,expert,expert,advanced,expert,expert,expert,expert,frequently,sometimes,frequently,frequently,sometimes,sometimes,sometimes,never,frequently,Perspective on how others teach this topic,
11/11/2025 14:51:49,Academia,Behavioral Science,some,advanced,a bit,some,a bit,some,a bit,a bit,a bit,frequently,never,never,sometimes,never,never,never,never,never,"Overview/introduction to mixed models, Statistical tips and tricks, Computational tips and tricks, Advanced computation, Advanced theory",N/A
11/11/2025 16:36:24,Government,biology (other),advanced,advanced,advanced,some,a bit,some,some,a bit,a bit,never,never,never,sometimes,never,frequently,never,never,never,"Statistical tips and tricks, Advanced computation",
11/11/2025 16:43:24,Academia,population biology (ecology/evolution/inf. disease epidemiology),advanced,advanced,advanced,none,some,advanced,a bit,some,a bit,frequently,sometimes,sometimes,sometimes,never,never,never,never,sometimes,"Overview/introduction to mixed models, Statistical tips and tricks, Computational tips and tricks",
11/11/2025 21:45:04,Academia,political science,some,some,some,some,some,some,some,some,a bit,frequently,never,sometimes,never,sometimes,never,never,never,never,"Statistical tips and tricks, Computational tips and tricks, Advanced computation, Advanced theory, Best practice ideas for use of mixed models",I'm particularly interested in guidance for large datasets and categorical outcome variables.
11/11/2025 23:52:28,Graduate Student ,population biology (ecology/evolution/inf. disease epidemiology),advanced,advanced,some,some,a bit,advanced,some,advanced,a bit,sometimes,frequently,never,sometimes,never,never,never,never,never,"Overview/introduction to mixed models, Statistical tips and tricks, Computational tips and tricks",
11/12/2025 2:12:43,Academia,psychology/linguistics/cognitive science,advanced,advanced,advanced,a bit,some,some,some,advanced,some,frequently,never,never,sometimes,never,never,never,never,sometimes,"Statistical tips and tricks, Computational tips and tricks, Advanced theory",
11/12/2025 2:36:41,Academia,biomechanics / motor control,some,a bit,a bit,none,some,a bit,a bit,some,a bit,sometimes,never,never,never,sometimes,never,never,never,sometimes,"Overview/introduction to mixed models, Statistical tips and tricks, Advanced theory, Rules of thumb for assessing the goodness of fit of mixed models.","I would like to understand how one should decide on which factors to include as random factors in a mixed model, both from a conceptual and from an analytical point of view. It would be great if this was covered in the lecture."
11/12/2025 8:28:58,Government,population biology (ecology/evolution/inf. disease epidemiology),advanced,advanced,advanced,some,some,some,some,some,some,frequently,sometimes,frequently,frequently,sometimes,sometimes,never,never,sometimes,"Overview/introduction to mixed models, Statistical tips and tricks, Computational tips and tricks, Advanced computation, Advanced theory",
11/12/2025 8:46:08,Industry,actuarial/financial sciences,advanced,advanced,some,some,a bit,advanced,some,advanced,advanced,sometimes,never,sometimes,never,never,never,never,never,never,Overview/introduction to mixed models,"Not a request but as background, I work in insurance as an actuary and Mixed Models corresponds to what we call ""Credibility Theory"".  I am looking to explore that connection more fully."
11/12/2025 10:33:27,Non-governmental organization,statistics/statistical consulting,expert,expert,advanced,none,some,advanced,some,a bit,a bit,frequently,sometimes,never,sometimes,frequently,never,never,never,never,"Statistical tips and tricks, Computational tips and tricks, Advanced computation, Advanced theory",
11/12/2025 11:00:25,Academia,sociology,some,some,a bit,none,a bit,some,a bit,none,none,never,never,never,sometimes,never,never,never,never,never,"Overview/introduction to mixed models, Statistical tips and tricks",
11/12/2025 11:17:42,Government,biology (other),advanced,advanced,advanced,a bit,a bit,a bit,none,a bit,none,frequently,frequently,never,never,never,never,never,never,never,"Overview/introduction to mixed models, Statistical tips and tricks, Computational tips and tricks",
11/12/2025 12:23:28,Academia,vegetation science,advanced,advanced,advanced,some,a bit,some,some,some,a bit,sometimes,frequently,never,sometimes,never,sometimes,never,never,never,"Statistical tips and tricks, Computational tips and tricks",
11/12/2025 12:29:29,Academia,population biology (ecology/evolution/inf. disease epidemiology),advanced,advanced,advanced,advanced,none,some,some,some,some,sometimes,never,never,sometimes,never,never,never,never,never,"Statistical tips and tricks, Advanced computation, Advanced theory",
11/12/2025 22:52:29,Academia,biology (other),advanced,advanced,advanced,some,none,some,a bit,a bit,a bit,never,frequently,sometimes,never,never,never,never,never,never,"Statistical tips and tricks, Computational tips and tricks, Advanced computation, Advanced theory",Ben's thoughts on keeping a full model vs removing non-significant terms (the latter is my common practice)
11/13/2025 0:11:01,Non-governmental organization,statistics/statistical consulting,advanced,advanced,advanced,advanced,some,some,some,some,a bit,sometimes,frequently,sometimes,sometimes,never,never,never,never,sometimes,"Overview/introduction to mixed models, Statistical tips and tricks, Computational tips and tricks, Advanced computation, Advanced theory",
11/13/2025 1:45:50,wildlife conservation,statistics/statistical consulting,expert,expert,expert,expert,some,some,some,some,some,frequently,frequently,sometimes,frequently,never,sometimes,never,never,sometimes,"Overview/introduction to mixed models, Statistical tips and tricks, Computational tips and tricks, Advanced computation, Advanced theory",
11/13/2025 10:58:26,Academia,biology (other),some,some,some,none,none,some,none,none,none,sometimes,never,never,sometimes,never,never,never,never,never,"Overview/introduction to mixed models, Statistical tips and tricks, Computational tips and tricks, proper approach to model selection and running in r",identify and correct common mistakes identified  via the numerous posts on online forums and in peer reviewed articles
11/13/2025 11:01:37,Academia,biology (other),advanced,advanced,advanced,some,none,a bit,a bit,a bit,a bit,frequently,sometimes,never,sometimes,never,never,never,never,never,"Statistical tips and tricks, Advanced theory, Learn more about how to handle unbalanced random factors",
11/13/2025 19:19:49,Academia,psychology/linguistics/cognitive science,some,some,some,a bit,some,some,some,a bit,a bit,sometimes,sometimes,never,never,never,never,never,never,frequently,"Overview/introduction to mixed models, Statistical tips and tricks, Computational tips and tricks, Advanced computation, Advanced theory",
11/14/2025 8:05:44,Academia,population biology (ecology/evolution/inf. disease epidemiology),some,some,some,some,a bit,some,some,some,some,frequently,,,frequently,,,,,,"Overview/introduction to mixed models, Statistical tips and tricks, Computational tips and tricks",
11/14/2025 11:13:51,Non-governmental organization,population biology (ecology/evolution/inf. disease epidemiology),some,some,some,none,none,a bit,some,some,a bit,sometimes,frequently,never,frequently,never,never,never,never,never,"Overview/introduction to mixed models, Statistical tips and tricks, Advanced theory",
11/14/2025 12:21:33,Non-governmental organization,biology (other),advanced,some,a bit,none,some,a bit,some,none,a bit,sometimes,never,never,never,,never,never,never,never,"Overview/introduction to mixed models, Statistical tips and tricks, Computational tips and tricks",
11/14/2025 13:33:32,Academia,public health,advanced,some,some,none,none,some,none,some,none,,,,,frequently,,,,,"Overview/introduction to mixed models, Computational tips and tricks",
11/14/2025 15:40:00,Government,population biology (ecology/evolution/inf. disease epidemiology),some,some,some,some,a bit,some,none,some,a bit,frequently,sometimes,never,frequently,never,never,never,never,never,"Statistical tips and tricks, Computational tips and tricks, Advanced computation, Advanced theory",
11/15/2025 14:14:50,Academia,population biology (ecology/evolution/inf. disease epidemiology),advanced,advanced,advanced,a bit,none,a bit,some,advanced,none,sometimes,frequently,sometimes,never,never,never,never,never,never,"Statistical tips and tricks, Computational tips and tricks, Advanced computation, Advanced theory",Just that I'm looking forward to the lecture :) It's thrilling to have someone as reknown as Ben as lecturer!
11/15/2025 15:11:05,Academia,population biology (ecology/evolution/inf. disease epidemiology),advanced,advanced,advanced,some,none,some,a bit,a bit,some,frequently,frequently,sometimes,frequently,never,frequently,never,never,never,Statistical tips and tricks,
11/15/2025 16:09:49,Academia,Geospatial Ecology,some,some,some,a bit,some,some,none,none,none,frequently,never,never,never,never,never,never,never,never,"Overview/introduction to mixed models, Statistical tips and tricks, Computational tips and tricks, Enhanced awareness of options and pitfalls in applying these kids of modelling approaches",
11/16/2025 9:28:55,Academia,psychology/linguistics/cognitive science,some,some,some,some,advanced,some,some,some,some,sometimes,sometimes,sometimes,sometimes,never,never,never,never,frequently,"Overview/introduction to mixed models, Statistical tips and tricks, Advanced computation",
11/17/2025 2:15:39,Government,agronomy,some,a bit,none,none,some,some,none,none,a bit,never,never,never,never,never,never,never,never,never,"Overview/introduction to mixed models, Computational tips and tricks",
11/17/2025 2:43:18,Government,Sensory Science,advanced,some,advanced,none,some,some,none,some,a bit,frequently,never,never,frequently,never,never,never,never,never,"Statistical tips and tricks, Computational tips and tricks, Advanced computation, Advanced theory, tips on good practice, common problems and their solution, tips on model selection",
11/17/2025 8:57:36,retired (former federal government),epidemiology,advanced,advanced,advanced,a bit,a bit,some,some,some,a bit,never,never,never,never,frequently,never,never,never,never,"Overview/introduction to mixed models, Statistical tips and tricks",
11/17/2025 10:18:25,Government,population biology (ecology/evolution/inf. disease epidemiology),advanced,advanced,a bit,none,some,advanced,some,advanced,a bit,sometimes,sometimes,never,sometimes,never,never,never,never,sometimes,"Overview/introduction to mixed models, Statistical tips and tricks, Computational tips and tricks",
11/17/2025 10:49:45,Academia,population biology (ecology/evolution/inf. disease epidemiology),some,some,some,some,a bit,some,a bit,a bit,none,sometimes,never,never,never,never,never,never,never,never,"Overview/introduction to mixed models, Statistical tips and tricks, Computational tips and tricks",
11/17/2025 11:23:13,Academia,biology (other),some,some,some,some,none,a bit,a bit,a bit,a bit,frequently,frequently,never,frequently,frequently,never,never,never,never,"Overview/introduction to mixed models, Statistical tips and tricks, Computational tips and tricks",
11/17/2025 12:30:09,Academia,biology (other),advanced,advanced,advanced,a bit,a bit,a bit,advanced,advanced,some,frequently,frequently,never,sometimes,never,never,never,never,never,"Statistical tips and tricks, Computational tips and tricks, Advanced computation",
11/17/2025 12:31:50,Academia,psychology/linguistics/cognitive science,some,some,some,a bit,a bit,some,a bit,a bit,some,frequently,never,frequently,sometimes,never,never,never,never,sometimes,"Statistical tips and tricks, Advanced theory",
11/17/2025 13:08:39,Academia,population biology (ecology/evolution/inf. disease epidemiology),some,some,some,a bit,none,a bit,a bit,some,advanced,,,sometimes,,,,,,,"Overview/introduction to mixed models, Statistical tips and tricks",
11/17/2025 14:15:41,Academia,psychology/linguistics/cognitive science,some,some,some,some,a bit,a bit,a bit,a bit,none,sometimes,never,never,frequently,never,never,never,never,sometimes,"Overview/introduction to mixed models, Statistical tips and tricks, Computational tips and tricks, Advanced computation, Advanced theory",
11/17/2025 14:40:25,Academia,biology (other),some,some,some,a bit,none,a bit,none,a bit,none,sometimes,never,never,never,never,never,never,never,never,"Overview/introduction to mixed models, Statistical tips and tricks, Computational tips and tricks",
11/17/2025 14:50:42,Academia,population biology (ecology/evolution/inf. disease epidemiology),some,advanced,advanced,a bit,none,some,a bit,some,some,sometimes,frequently,never,sometimes,never,never,never,never,never,"Statistical tips and tricks, Computational tips and tricks, Advanced computation",
11/17/2025 15:52:33,Industry,psychology/linguistics/cognitive science,advanced,some,some,none,advanced,advanced,none,some,some,sometimes,never,never,never,never,never,never,never,frequently,"Statistical tips and tricks, Computational tips and tricks, Advanced theory",
11/17/2025 16:49:05,Government,biology (other),a bit,a bit,a bit,,,,,,,never,never,never,sometimes,never,frequently,never,never,never,"Overview/introduction to mixed models, Statistical tips and tricks",no
11/17/2025 19:01:29,Non-governmental organization,statistics/statistical consulting,advanced,some,a bit,a bit,none,some,none,a bit,a bit,,never,never,never,sometimes,frequently,never,never,never,"Overview/introduction to mixed models, Statistical tips and tricks",
11/17/2025 20:38:36,Academia,statistics/statistical consulting,advanced,advanced,some,a bit,none,some,none,a bit,a bit,sometimes,frequently,never,never,never,sometimes,never,never,never,"Overview/introduction to mixed models, Statistical tips and tricks, Computational tips and tricks, Advanced computation, Advanced theory",
11/18/2025 4:45:09,Government,population biology (ecology/evolution/inf. disease epidemiology),some,some,a bit,none,a bit,some,some,some,advanced,never,never,frequently,never,never,never,never,sometimes,sometimes,Overview/introduction to mixed models,
11/18/2025 5:10:59,Academia,agroecology,some,some,some,none,a bit,some,some,a bit,none,sometimes,frequently,never,sometimes,never,never,never,never,never,"Overview/introduction to mixed models, Statistical tips and tricks, Computational tips and tricks, Advanced computation, Advanced theory",
11/18/2025 9:46:52,Government,population biology (ecology/evolution/inf. disease epidemiology),advanced,advanced,advanced,a bit,none,advanced,some,some,a bit,sometimes,frequently,sometimes,sometimes,never,never,never,never,never,"Statistical tips and tricks, Computational tips and tricks, Advanced computation, Advanced theory",
11/18/2025 9:47:08,Government,program evaluation,advanced,some,some,a bit,a bit,a bit,a bit,a bit,some,sometimes,never,sometimes,sometimes,never,never,never,never,never,"Statistical tips and tricks, Computational tips and tricks",
11/18/2025 10:41:30,Academia,biology (other),advanced,advanced,a bit,none,none,some,none,none,none,sometimes,sometimes,never,never,never,never,never,never,never,"Overview/introduction to mixed models, Statistical tips and tricks, Computational tips and tricks",
11/18/2025 10:41:55,Industry,population biology (ecology/evolution/inf. disease epidemiology),some,some,none,a bit,none,a bit,none,a bit,a bit,frequently,sometimes,never,never,never,never,never,never,never,"Overview/introduction to mixed models, Statistical tips and tricks",
11/18/2025 11:16:32,Retired from a government agency,population biology (ecology/evolution/inf. disease epidemiology),some,some,some,none,none,some,a bit,some,a bit,sometimes,sometimes,never,sometimes,never,never,never,never,never,"Statistical tips and tricks, Computational tips and tricks, Advanced computation",
11/18/2025 12:27:30,Government,population biology (ecology/evolution/inf. disease epidemiology),advanced,advanced,advanced,some,a bit,advanced,some,advanced,a bit,frequently,sometimes,never,sometimes,never,sometimes,never,never,sometimes,"Statistical tips and tricks, Computational tips and tricks, Advanced computation, Advanced theory",
11/18/2025 12:30:11,Academia,population biology (ecology/evolution/inf. disease epidemiology),advanced,advanced,advanced,a bit,none,some,none,some,none,frequently,sometimes,never,frequently,never,never,never,never,never,"Statistical tips and tricks, Computational tips and tricks, Advanced theory",
11/18/2025 12:57:27,Academia,population biology (ecology/evolution/inf. disease epidemiology),some,some,some,none,a bit,some,some,some,a bit,never,never,never,frequently,never,never,never,sometimes,sometimes,"Statistical tips and tricks, Computational tips and tricks, Advanced computation, Advanced theory",
11/18/2025 12:57:37,Academia,population biology (ecology/evolution/inf. disease epidemiology),advanced,advanced,some,a bit,a bit,advanced,some,expert,a bit,never,never,never,never,never,never,never,never,never,"Overview/introduction to mixed models, Statistical tips and tricks, Computational tips and tricks",
11/18/2025 12:59:22,Academia,bioinformatics/genomics,advanced,advanced,advanced,some,some,some,a bit,none,none,frequently,,,frequently,,sometimes,,,sometimes,"Overview/introduction to mixed models, Statistical tips and tricks, Computational tips and tricks, Advanced computation, Advanced theory",None.
11/18/2025 13:02:50,Academia,psychology/linguistics/cognitive science,some,some,some,none,none,a bit,none,none,none,never,never,never,never,never,never,never,never,never,Overview/introduction to mixed models,
11/18/2025 13:21:11,Academia,biology (other),some,some,some,none,none,none,some,none,a bit,sometimes,sometimes,never,never,never,never,never,never,never,"Overview/introduction to mixed models, Statistical tips and tricks, Computational tips and tricks",